gene,gene_id,chromosome,gene_length,is_multi_disease,num_diseases,diseases,max_score,mean_score,weighted_score,top_disease,shared_snp_count,total_snp_count,AD_score,AD_score_raw,AD_snps,T2D_score,T2D_score_raw,T2D_snps
TSPAN8,,12,10000,False,1,T2D,0.601524,0.601524,0.601524,T2D,0,12,0,0,0,0.601524,0.601524,12
TSPO2,,6,10000,False,1,AD,0.612214,0.612214,0.612214,AD,0,1,0.612214,0.612214,1,0,0,0
TUBB1,,20,10000,False,1,T2D,0.788056,0.788056,0.788056,T2D,0,1,0,0,0,0.788056,0.788056,1
UBA7,,3,10000,False,1,T2D,0.53936,0.53936,0.53936,T2D,0,1,0,0,0,0.53936,0.53936,1
UBAP2,,9,10000,False,1,T2D,0.547718,0.547718,0.547718,T2D,0,3,0,0,0,0.547718,0.547718,3
UBD,,6,10000,False,1,T2D,0.526076,0.526076,0.526076,T2D,0,1,0,0,0,0.526076,0.526076,1
UBE2E2,,3,10000,False,1,T2D,0.667766,0.667766,0.667766,T2D,0,164,0,0,0,0.667766,0.667766,164
UBE2R2,,9,10000,False,1,T2D,0.519258,0.519258,0.519258,T2D,0,3,0,0,0,0.519258,0.519258,3
UBE2Z,,17,10000,False,1,T2D,0.759292,0.759292,0.759292,T2D,0,7,0,0,0,0.759292,0.759292,7
UBE3C,,7,10000,False,1,T2D,0.620411,0.620411,0.620411,T2D,0,12,0,0,0,0.620411,0.620411,12
UFC1,,1,10000,False,1,AD,0.568349,0.568349,0.568349,AD,0,5,0.568349,0.568349,5,0,0,0
UMOD,,16,10000,False,1,T2D,0.708502,0.708502,0.708502,T2D,0,5,0,0,0,0.708502,0.708502,5
UMPS,,3,10000,False,1,T2D,0.469998,0.469998,0.469998,T2D,0,5,0,0,0,0.469998,0.469998,5
UNC45A,,15,10000,False,1,T2D,0.670801,0.670801,0.670801,T2D,0,25,0,0,0,0.670801,0.670801,25
UNC5C,,4,10000,False,1,T2D,0.583201,0.583201,0.583201,T2D,0,11,0,0,0,0.583201,0.583201,11
UNC5CL,,6,10000,False,1,AD,0.744055,0.744055,0.744055,AD,0,1,0.744055,0.744055,1,0,0,0
UPK3B,,7,10000,False,1,T2D,0.492806,0.492806,0.492806,T2D,0,5,0,0,0,0.492806,0.492806,5
USP21,,1,10000,False,1,AD,0.57182,0.57182,0.57182,AD,0,4,0.57182,0.57182,4,0,0,0
USP3,,15,10000,False,1,T2D,0.610356,0.610356,0.610356,T2D,0,4,0,0,0,0.610356,0.610356,4
USP40,,2,10000,False,1,T2D,0.630098,0.630098,0.630098,T2D,0,1,0,0,0,0.630098,0.630098,1
USP48,,1,10000,False,1,T2D,0.528949,0.528949,0.528949,T2D,0,10,0,0,0,0.528949,0.528949,10
USP6,,17,10000,False,1,AD,0.494213,0.494213,0.494213,AD,0,1,0.494213,0.494213,1,0,0,0
UVSSA,,4,10000,False,1,T2D,0.646275,0.646275,0.646275,T2D,0,8,0,0,0,0.646275,0.646275,8
VARS,,6,10000,False,1,T2D,0.609159,0.609159,0.609159,T2D,0,7,0,0,0,0.609159,0.609159,7
VARS2,,6,10000,False,1,T2D,0.603344,0.603344,0.603344,T2D,0,1,0,0,0,0.603344,0.603344,1
VASP,,19,10000,False,1,AD,0.627664,0.627664,0.627664,AD,0,1,0.627664,0.627664,1,0,0,0
VAV3,,1,10000,False,1,T2D,0.548018,0.548018,0.548018,T2D,0,2,0,0,0,0.548018,0.548018,2
VEGFA,,6,10000,False,1,T2D,0.580121,0.580121,0.580121,T2D,0,1,0,0,0,0.580121,0.580121,1
VKORC1,,16,10000,False,1,AD,0.483549,0.483549,0.483549,AD,0,1,0.483549,0.483549,1,0,0,0
VPS13C,,15,10000,False,1,T2D,0.596345,0.596345,0.596345,T2D,0,9,0,0,0,0.596345,0.596345,9
VPS25,,17,10000,False,1,T2D,0.528443,0.528443,0.528443,T2D,0,3,0,0,0,0.528443,0.528443,3
VPS26A,,10,10000,False,1,T2D,0.647629,0.647629,0.647629,T2D,0,1,0,0,0,0.647629,0.647629,1
VPS33B,,15,10000,False,1,T2D,0.656527,0.656527,0.656527,T2D,0,13,0,0,0,0.656527,0.656527,13
VPS8,,3,10000,False,1,T2D,0.580992,0.580992,0.580992,T2D,0,1,0,0,0,0.580992,0.580992,1
VRK2,,2,10000,False,1,T2D,0.610343,0.610343,0.610343,T2D,0,2,0,0,0,0.610343,0.610343,2
VTI1A,,10,10000,False,1,T2D,0.551181,0.551181,0.551181,T2D,0,4,0,0,0,0.551181,0.551181,4
VWA5B1,,1,10000,False,1,T2D,0.591018,0.591018,0.591018,T2D,0,8,0,0,0,0.591018,0.591018,8
VWA7,,6,10000,False,1,T2D,0.609159,0.609159,0.609159,T2D,0,5,0,0,0,0.609159,0.609159,5
WDR61,,15,10000,False,1,T2D,0.526515,0.526515,0.526515,T2D,0,1,0,0,0,0.526515,0.526515,1
WFS1,,4,10000,False,1,T2D,0.734852,0.734852,0.734852,T2D,0,114,0,0,0,0.734852,0.734852,114
WNK4,,17,10000,False,1,T2D,0.528443,0.528443,0.528443,T2D,0,3,0,0,0,0.528443,0.528443,3
WNT6,,2,10000,False,1,T2D,0.632496,0.632496,0.632496,T2D,0,1,0,0,0,0.632496,0.632496,1
WNT7B,,22,10000,False,1,T2D,0.525432,0.525432,0.525432,T2D,0,3,0,0,0,0.525432,0.525432,3
WSCD2,,12,10000,False,1,T2D,0.62331,0.62331,0.62331,T2D,0,8,0,0,0,0.62331,0.62331,8
XKR6,,8,10000,False,1,T2D,0.506395,0.506395,0.506395,T2D,0,4,0,0,0,0.506395,0.506395,4
XRCC1,,19,10000,False,1,AD,0.638527,0.638527,0.638527,AD,0,2,0.638527,0.638527,2,0,0,0
XXbac-BPG181M17.5,,6,10000,False,1,T2D,0.60369,0.60369,0.60369,T2D,0,2,0,0,0,0.60369,0.60369,2
