gene,gene_id,chromosome,gene_length,is_multi_disease,num_diseases,diseases,max_score,mean_score,weighted_score,top_disease,shared_snp_count,total_snp_count,AD_score,AD_score_raw,AD_snps,T2D_score,T2D_score_raw,T2D_snps
AC010336.1,,19,10000,False,1,T2D,0.678731,0.678731,0.678731,T2D,0,6,0,0,0,0.678731,0.678731,6
AC011484.1,,19,10000,False,1,AD,0.609192,0.609192,0.609192,AD,0,1,0.609192,0.609192,1,0,0,0
AC011530.4,,19,10000,False,1,AD,0.745273,0.745273,0.745273,AD,0,2,0.745273,0.745273,2,0,0,0
AC011551.3,,19,10000,False,1,AD,0.600778,0.600778,0.600778,AD,0,2,0.600778,0.600778,2,0,0,0
AC022431.2,,5,10000,False,1,T2D,0.601608,0.601608,0.601608,T2D,0,27,0,0,0,0.601608,0.601608,27
AC024940.1,,12,10000,False,1,T2D,0.692091,0.692091,0.692091,T2D,0,2,0,0,0,0.692091,0.692091,2
AC074212.3,,19,10000,False,1,AD,0.700827,0.700827,0.700827,AD,0,3,0.700827,0.700827,3,0,0,0
AC079602.1,,12,10000,False,1,T2D,0.67304,0.67304,0.67304,T2D,0,7,0,0,0,0.67304,0.67304,7
AC109583.1,,3,10000,False,1,T2D,0.545359,0.545359,0.545359,T2D,0,1,0,0,0,0.545359,0.545359,1
AC109829.1,,2,10000,False,1,T2D,0.707183,0.707183,0.707183,T2D,0,10,0,0,0,0.707183,0.707183,10
ACAD10,,12,10000,False,1,T2D,0.666088,0.666088,0.666088,T2D,0,2,0,0,0,0.666088,0.666088,2
ACE,,17,10000,False,1,AD,0.657663,0.657663,0.657663,AD,0,11,0.657663,0.657663,11,0,0,0
ACKR2,,3,10000,False,1,T2D,0.629252,0.629252,0.629252,T2D,0,2,0,0,0,0.629252,0.629252,2
ACP2,,11,10000,False,1,T2D,0.485205,0.485205,0.485205,T2D,0,1,0,0,0,0.485205,0.485205,1
ACSL1,,4,10000,False,1,T2D,0.686316,0.686316,0.686316,T2D,0,8,0,0,0,0.686316,0.686316,8
ACTA1,,1,10000,False,1,T2D,0.579007,0.579007,0.579007,T2D,0,1,0,0,0,0.579007,0.579007,1
ADAM10,,15,10000,False,1,AD,0.632983,0.632983,0.632983,AD,0,22,0.632983,0.632983,22,0,0,0
ADAM30,,1,10000,False,1,T2D,0.491674,0.491674,0.491674,T2D,0,3,0,0,0,0.491674,0.491674,3
ADAMTS4,,1,10000,False,1,AD,0.578454,0.578454,0.578454,AD,0,6,0.578454,0.578454,6,0,0,0
ADCY5,,3,10000,False,1,T2D,0.713835,0.713835,0.713835,T2D,0,24,0,0,0,0.713835,0.713835,24
AEBP1,,7,10000,False,1,T2D,0.644833,0.644833,0.644833,T2D,0,2,0,0,0,0.644833,0.644833,2
AGER,,6,10000,False,1,T2D,0.565102,0.565102,0.565102,T2D,0,3,0,0,0,0.565102,0.565102,3
AGMO,,7,10000,False,1,T2D,0.617902,0.617902,0.617902,T2D,0,1,0,0,0,0.617902,0.617902,1
AGPAT1,,6,10000,False,1,T2D,0.565055,0.565055,0.565055,T2D,0,2,0,0,0,0.565055,0.565055,2
AHCY,,20,10000,False,1,T2D,0.606402,0.606402,0.606402,T2D,0,2,0,0,0,0.606402,0.606402,2
AIF1,,6,10000,False,1,T2D,0.62767,0.62767,0.62767,T2D,0,28,0,0,0,0.62767,0.62767,28
AKAP3,,12,10000,False,1,T2D,0.601948,0.601948,0.601948,T2D,0,1,0,0,0,0.601948,0.601948,1
AKAP6,,14,10000,False,1,T2D,0.5846,0.5846,0.5846,T2D,0,1,0,0,0,0.5846,0.5846,1
AKR1A1,,1,10000,False,1,T2D,0.499712,0.499712,0.499712,T2D,0,2,0,0,0,0.499712,0.499712,2
AL590714.1,,1,10000,False,1,AD,0.584686,0.584686,0.584686,AD,0,2,0.584686,0.584686,2,0,0,0
ALDH2,,12,10000,False,1,T2D,0.665017,0.665017,0.665017,T2D,0,2,0,0,0,0.665017,0.665017,2
ALDOA,,16,10000,False,1,AD,0.655538,0.655538,0.655538,AD,0,6,0.655538,0.655538,6,0,0,0
ALKBH4,,7,10000,False,1,T2D,0.645291,0.645291,0.645291,T2D,0,4,0,0,0,0.645291,0.645291,4
ALPK2,,18,10000,False,1,AD,0.68002,0.68002,0.68002,AD,0,1,0.68002,0.68002,1,0,0,0
AMBRA1,,11,10000,False,1,T2D,0.488183,0.488183,0.488183,T2D,0,4,0,0,0,0.488183,0.488183,4
AMIGO3,,3,10000,False,1,T2D,0.525973,0.525973,0.525973,T2D,0,1,0,0,0,0.525973,0.525973,1
ANK1,,8,10000,False,1,T2D,0.670484,0.670484,0.670484,T2D,0,36,0,0,0,0.670484,0.670484,36
ANK3,,10,10000,False,1,AD,0.535906,0.535906,0.535906,AD,0,3,0.535906,0.535906,3,0,0,0
ANKDD1B,,5,10000,False,1,T2D,0.566957,0.566957,0.566957,T2D,0,1,0,0,0,0.566957,0.566957,1
ANKFY1,,17,10000,False,1,T2D,0.636643,0.636643,0.636643,T2D,0,2,0,0,0,0.636643,0.636643,2
ANKH,,5,10000,False,1,T2D,0.65885,0.65885,0.65885,T2D,0,24,0,0,0,0.65885,0.65885,24
ANKRD11,,16,10000,False,1,T2D,0.515554,0.515554,0.515554,T2D,0,4,0,0,0,0.515554,0.515554,4
ANKRD31,,5,10000,False,1,AD,0.481455,0.481455,0.481455,AD,0,3,0.481455,0.481455,3,0,0,0
ANKS6,,9,10000,False,1,T2D,0.557252,0.557252,0.557252,T2D,0,4,0,0,0,0.557252,0.557252,4
AOC1,,7,10000,False,1,T2D,0.611293,0.611293,0.611293,T2D,0,21,0,0,0,0.611293,0.611293,21
AP001362.1,,11,10000,False,1,T2D,0.499306,0.499306,0.499306,T2D,0,5,0,0,0,0.499306,0.499306,5
AP2A2,,11,10000,False,1,T2D,0.640477,0.640477,0.640477,T2D,0,3,0,0,0,0.640477,0.640477,3
AP3S2,,15,10000,False,1,T2D,0.526455,0.526455,0.526455,T2D,0,3,0,0,0,0.526455,0.526455,3
APH1B,,15,10000,False,1,AD,0.767689,0.767689,0.767689,AD,0,2,0.767689,0.767689,2,0,0,0
APOA2,,1,10000,False,1,AD,0.584686,0.584686,0.584686,AD,0,2,0.584686,0.584686,2,0,0,0
APOBEC2,,6,10000,False,1,AD,0.612214,0.612214,0.612214,AD,0,1,0.612214,0.612214,1,0,0,0
APOC1,,19,10000,True,2,"AD,T2D",0.987684,0.841223,0.962679,AD,7,82,0.987684,0.987684,75,0.694761,0.694761,7
APOC2,,19,10000,False,1,AD,0.985662,0.985662,0.985662,AD,0,21,0.985662,0.985662,21,0,0,0
APOC4,,19,10000,False,1,AD,0.986188,0.986188,0.986188,AD,0,25,0.986188,0.986188,25,0,0,0
APOC4-APOC2,,19,10000,False,1,AD,0.986188,0.986188,0.986188,AD,0,25,0.986188,0.986188,25,0,0,0
APOE,,19,10000,True,2,"AD,T2D",0.985954,0.84222,0.963407,AD,8,102,0.985954,0.985954,94,0.698485,0.698485,8
APOM,,6,10000,False,1,T2D,0.626791,0.626791,0.626791,T2D,0,32,0,0,0,0.626791,0.626791,32
APP,,21,10000,False,1,AD,0.573588,0.573588,0.573588,AD,0,10,0.573588,0.573588,10,0,0,0
ARAP1,,11,10000,False,1,T2D,0.812217,0.812217,0.812217,T2D,0,20,0,0,0,0.812217,0.812217,20
ARF5,,7,10000,False,1,T2D,0.829537,0.829537,0.829537,T2D,0,4,0,0,0,0.829537,0.829537,4
ARG1,,6,10000,False,1,T2D,0.510856,0.510856,0.510856,T2D,0,1,0,0,0,0.510856,0.510856,1
ARHGAP19,,10,10000,False,1,T2D,0.614155,0.614155,0.614155,T2D,0,33,0,0,0,0.614155,0.614155,33
ARHGAP19-SLIT1,,10,10000,False,1,T2D,0.614155,0.614155,0.614155,T2D,0,33,0,0,0,0.614155,0.614155,33
ARHGAP24,,4,10000,False,1,T2D,0.668961,0.668961,0.668961,T2D,0,1,0,0,0,0.668961,0.668961,1
ARHGDIG,,16,10000,False,1,T2D,0.621924,0.621924,0.621924,T2D,0,9,0,0,0,0.621924,0.621924,9
ARID5B,,10,10000,False,1,T2D,0.561727,0.561727,0.561727,T2D,0,5,0,0,0,0.561727,0.561727,5
ARL15,,5,10000,False,1,T2D,0.622029,0.622029,0.622029,T2D,0,8,0,0,0,0.622029,0.622029,8
ARL6IP4,,12,10000,False,1,T2D,0.48642,0.48642,0.48642,T2D,0,1,0,0,0,0.48642,0.48642,1
ARMS2,,10,10000,False,1,T2D,0.650619,0.650619,0.650619,T2D,0,3,0,0,0,0.650619,0.650619,3
ASAH1,,8,10000,False,1,T2D,0.551871,0.551871,0.551871,T2D,0,2,0,0,0,0.551871,0.551871,2
ASB8,,12,10000,False,1,T2D,0.490794,0.490794,0.490794,T2D,0,1,0,0,0,0.490794,0.490794,1
ASCC2,,22,10000,False,1,T2D,0.633584,0.633584,0.633584,T2D,0,3,0,0,0,0.633584,0.633584,3
ASIP,,20,10000,False,1,T2D,0.59747,0.59747,0.59747,T2D,0,3,0,0,0,0.59747,0.59747,3
ATAT1,,6,10000,False,1,T2D,0.572756,0.572756,0.572756,T2D,0,1,0,0,0,0.572756,0.572756,1
ATF6B,,6,10000,False,1,T2D,0.655839,0.655839,0.655839,T2D,0,3,0,0,0,0.655839,0.655839,3
ATG13,,11,10000,False,1,T2D,0.475101,0.475101,0.475101,T2D,0,1,0,0,0,0.475101,0.475101,1
ATG16L1,,2,10000,False,1,T2D,0.680407,0.680407,0.680407,T2D,0,1,0,0,0,0.680407,0.680407,1
ATP5E,,20,10000,False,1,T2D,0.788056,0.788056,0.788056,T2D,0,1,0,0,0,0.788056,0.788056,1
ATP5G1,,17,10000,False,1,T2D,0.777341,0.777341,0.777341,T2D,0,4,0,0,0,0.777341,0.777341,4
ATP6V0A1,,17,10000,False,1,T2D,0.546686,0.546686,0.546686,T2D,0,1,0,0,0,0.546686,0.546686,1
ATP6V1G2,,6,10000,False,1,T2D,0.623082,0.623082,0.623082,T2D,0,8,0,0,0,0.623082,0.623082,8
ATP6V1G2-DDX39B,,6,10000,False,1,T2D,0.625482,0.625482,0.625482,T2D,0,10,0,0,0,0.625482,0.625482,10
ATP8B4,,15,10000,False,1,AD,0.69531,0.69531,0.69531,AD,0,2,0.69531,0.69531,2,0,0,0
ATXN7,,3,10000,False,1,T2D,0.600629,0.600629,0.600629,T2D,0,17,0,0,0,0.600629,0.600629,17
AURKA,,20,10000,False,1,AD,0.653865,0.653865,0.653865,AD,0,4,0.653865,0.653865,4,0,0,0
AUTS2,,7,10000,False,1,T2D,0.635845,0.635845,0.635845,T2D,0,211,0,0,0,0.635845,0.635845,211
AZU1,,19,10000,False,1,AD,0.489378,0.489378,0.489378,AD,0,1,0.489378,0.489378,1,0,0,0
B4GALT3,,1,10000,False,1,AD,0.575339,0.575339,0.575339,AD,0,4,0.575339,0.575339,4,0,0,0
BAG6,,6,10000,False,1,T2D,0.627421,0.627421,0.627421,T2D,0,43,0,0,0,0.627421,0.627421,43
BAK1,,6,10000,False,1,T2D,0.617007,0.617007,0.617007,T2D,0,12,0,0,0,0.617007,0.617007,12
BAZ1B,,7,10000,False,1,T2D,0.533099,0.533099,0.533099,T2D,0,1,0,0,0,0.533099,0.533099,1
BBIP1,,10,10000,False,1,T2D,0.660619,0.660619,0.660619,T2D,0,2,0,0,0,0.660619,0.660619,2
BCAM,,19,10000,False,1,AD,0.828392,0.828392,0.828392,AD,0,18,0.828392,0.828392,18,0,0,0
BCAR1,,16,10000,False,1,T2D,0.596291,0.596291,0.596291,T2D,0,11,0,0,0,0.596291,0.596291,11
BCDIN3D,,12,10000,False,1,T2D,0.625083,0.625083,0.625083,T2D,0,8,0,0,0,0.625083,0.625083,8
BCKDK,,16,10000,False,1,AD,0.483549,0.483549,0.483549,AD,0,1,0.483549,0.483549,1,0,0,0
BCL2,,18,10000,False,1,T2D,0.685397,0.685397,0.685397,T2D,0,1,0,0,0,0.685397,0.685397,1
BCL2L11,,2,10000,False,1,T2D,0.493877,0.493877,0.493877,T2D,0,1,0,0,0,0.493877,0.493877,1
BCL3,,19,10000,False,1,AD,0.84455,0.84455,0.84455,AD,0,5,0.84455,0.84455,5,0,0,0
BCL6B,,17,10000,False,1,T2D,0.652207,0.652207,0.652207,T2D,0,13,0,0,0,0.652207,0.652207,13
BCL7B,,7,10000,False,1,T2D,0.534907,0.534907,0.534907,T2D,0,1,0,0,0,0.534907,0.534907,1
BDH2,,4,10000,False,1,T2D,0.59542,0.59542,0.59542,T2D,0,1,0,0,0,0.59542,0.59542,1
BDNF,,11,10000,False,1,T2D,0.612732,0.612732,0.612732,T2D,0,17,0,0,0,0.612732,0.612732,17
BECN1,,17,10000,False,1,T2D,0.574809,0.574809,0.574809,T2D,0,1,0,0,0,0.574809,0.574809,1
BEND3,,6,10000,False,1,T2D,0.586084,0.586084,0.586084,T2D,0,8,0,0,0,0.586084,0.586084,8
BEND7,,10,10000,False,1,T2D,0.49172,0.49172,0.49172,T2D,0,14,0,0,0,0.49172,0.49172,14
BIN1,,2,10000,False,1,AD,0.800224,0.800224,0.800224,AD,0,20,0.800224,0.800224,20,0,0,0
BLOC1S2,,10,10000,False,1,T2D,0.545259,0.545259,0.545259,T2D,0,2,0,0,0,0.545259,0.545259,2
BLOC1S3,,19,10000,False,1,AD,0.64025,0.64025,0.64025,AD,0,4,0.64025,0.64025,4,0,0,0
BMPR1B,,4,10000,False,1,T2D,0.520272,0.520272,0.520272,T2D,0,2,0,0,0,0.520272,0.520272,2
BOP1,,8,10000,False,1,T2D,0.621392,0.621392,0.621392,T2D,0,1,0,0,0,0.621392,0.621392,1
BPTF,,17,10000,False,1,T2D,0.503871,0.503871,0.503871,T2D,0,1,0,0,0,0.503871,0.503871,1
BRAF,,7,10000,False,1,T2D,0.488104,0.488104,0.488104,T2D,0,1,0,0,0,0.488104,0.488104,1
BRAP,,12,10000,False,1,T2D,0.616009,0.616009,0.616009,T2D,0,1,0,0,0,0.616009,0.616009,1
BRD2,,6,10000,False,1,T2D,0.605334,0.605334,0.605334,T2D,0,4,0,0,0,0.605334,0.605334,4
BTAF1,,10,10000,False,1,T2D,0.653373,0.653373,0.653373,T2D,0,6,0,0,0,0.653373,0.653373,6
BTNL2,,6,10000,False,1,T2D,0.618271,0.618271,0.618271,T2D,0,104,0,0,0,0.618271,0.618271,104
BYSL,,6,10000,False,1,T2D,0.760936,0.760936,0.760936,T2D,0,1,0,0,0,0.760936,0.760936,1
BZRAP1,,17,10000,False,1,AD,0.578533,0.578533,0.578533,AD,0,1,0.578533,0.578533,1,0,0,0
C10orf115,,10,10000,False,1,T2D,0.551959,0.551959,0.551959,T2D,0,1,0,0,0,0.551959,0.551959,1
C10orf35,,10,10000,False,1,T2D,0.567596,0.567596,0.567596,T2D,0,2,0,0,0,0.567596,0.567596,2
C10orf40,,10,10000,False,1,AD,0.529794,0.529794,0.529794,AD,0,2,0.529794,0.529794,2,0,0,0
C11orf49,,11,10000,False,1,T2D,0.490476,0.490476,0.490476,T2D,0,1,0,0,0,0.490476,0.490476,1
C12orf4,,12,10000,False,1,T2D,0.683564,0.683564,0.683564,T2D,0,4,0,0,0,0.683564,0.683564,4
C12orf43,,12,10000,False,1,T2D,0.67487,0.67487,0.67487,T2D,0,19,0,0,0,0.67487,0.67487,19
C12orf5,,12,10000,False,1,T2D,0.777091,0.777091,0.777091,T2D,0,3,0,0,0,0.777091,0.777091,3
C12orf65,,12,10000,False,1,T2D,0.55746,0.55746,0.55746,T2D,0,1,0,0,0,0.55746,0.55746,1
C14orf166B,,14,10000,False,1,T2D,0.5644,0.5644,0.5644,T2D,0,2,0,0,0,0.5644,0.5644,2
C15orf38-AP3S2,,15,10000,False,1,T2D,0.526455,0.526455,0.526455,T2D,0,3,0,0,0,0.526455,0.526455,3
C15orf52,,15,10000,False,1,T2D,0.678992,0.678992,0.678992,T2D,0,12,0,0,0,0.678992,0.678992,12
C15orf61,,15,10000,False,1,T2D,0.539846,0.539846,0.539846,T2D,0,1,0,0,0,0.539846,0.539846,1
C16orf92,,16,10000,False,1,AD,0.655538,0.655538,0.655538,AD,0,16,0.655538,0.655538,16,0,0,0
C17orf58,,17,10000,False,1,T2D,0.576147,0.576147,0.576147,T2D,0,1,0,0,0,0.576147,0.576147,1
C18orf8,,18,10000,False,1,T2D,0.609972,0.609972,0.609972,T2D,0,25,0,0,0,0.609972,0.609972,25
C19orf83,,19,10000,True,2,"AD,T2D",0.714876,0.697385,0.698803,T2D,0,37,0.679894,0.679894,17,0.714876,0.714876,20
C2,,6,10000,False,1,T2D,0.634358,0.634358,0.634358,T2D,0,4,0,0,0,0.634358,0.634358,4
C20orf201,,20,10000,False,1,T2D,0.575696,0.575696,0.575696,T2D,0,4,0,0,0,0.575696,0.575696,4
C2CD4A,,15,10000,False,1,T2D,0.614435,0.614435,0.614435,T2D,0,1,0,0,0,0.614435,0.614435,1
C2CD4C,,19,10000,False,1,AD,0.575175,0.575175,0.575175,AD,0,1,0.575175,0.575175,1,0,0,0
C3orf49,,3,10000,False,1,T2D,0.621126,0.621126,0.621126,T2D,0,3,0,0,0,0.621126,0.621126,3
C4B,,6,10000,False,1,T2D,0.607103,0.607103,0.607103,T2D,0,2,0,0,0,0.607103,0.607103,2
C6orf1,,6,10000,False,1,T2D,0.668191,0.668191,0.668191,T2D,0,14,0,0,0,0.668191,0.668191,14
C6orf10,,6,10000,False,1,T2D,0.618447,0.618447,0.618447,T2D,0,82,0,0,0,0.618447,0.618447,82
C6orf15,,6,10000,False,1,T2D,0.602182,0.602182,0.602182,T2D,0,4,0,0,0,0.602182,0.602182,4
C6orf25,,6,10000,False,1,T2D,0.612047,0.612047,0.612047,T2D,0,7,0,0,0,0.612047,0.612047,7
C6orf47,,6,10000,False,1,T2D,0.625828,0.625828,0.625828,T2D,0,23,0,0,0,0.625828,0.625828,23
C6orf48,,6,10000,False,1,T2D,0.603244,0.603244,0.603244,T2D,0,4,0,0,0,0.603244,0.603244,4
C7orf61,,7,10000,False,1,AD,0.644475,0.644475,0.644475,AD,0,1,0.644475,0.644475,1,0,0,0
C7orf63,,7,10000,False,1,T2D,0.602994,0.602994,0.602994,T2D,0,1,0,0,0,0.602994,0.602994,1
C9orf139,,9,10000,False,1,T2D,0.483465,0.483465,0.483465,T2D,0,8,0,0,0,0.483465,0.483465,8
C9orf163,,9,10000,False,1,T2D,0.609566,0.609566,0.609566,T2D,0,6,0,0,0,0.609566,0.609566,6
C9orf53,,9,10000,False,1,T2D,0.646428,0.646428,0.646428,T2D,0,1,0,0,0,0.646428,0.646428,1
CABP1,,12,10000,False,1,T2D,0.602281,0.602281,0.602281,T2D,0,1,0,0,0,0.602281,0.602281,1
CADM4,,19,10000,False,1,AD,0.638527,0.638527,0.638527,AD,0,1,0.638527,0.638527,1,0,0,0
CAGE1,,6,10000,False,1,T2D,0.578407,0.578407,0.578407,T2D,0,1,0,0,0,0.578407,0.578407,1
CALCOCO2,,17,10000,False,1,T2D,0.652689,0.652689,0.652689,T2D,0,1,0,0,0,0.652689,0.652689,1
CALCR,,7,10000,False,1,T2D,0.504914,0.504914,0.504914,T2D,0,13,0,0,0,0.504914,0.504914,13
CALM3,,19,10000,False,1,AD,0.600778,0.600778,0.600778,AD,0,2,0.600778,0.600778,2,0,0,0
CAMK2B,,7,10000,False,1,T2D,0.683675,0.683675,0.683675,T2D,0,8,0,0,0,0.683675,0.683675,8
CAMK2G,,10,10000,False,1,T2D,0.528085,0.528085,0.528085,T2D,0,1,0,0,0,0.528085,0.528085,1
CARD9,,9,10000,False,1,T2D,0.694341,0.694341,0.694341,T2D,0,35,0,0,0,0.694341,0.694341,35
CASR,,3,10000,False,1,T2D,0.510826,0.510826,0.510826,T2D,0,3,0,0,0,0.510826,0.510826,3
CASS4,,20,10000,False,1,AD,0.631148,0.631148,0.631148,AD,0,14,0.631148,0.631148,14,0,0,0
CAST,,5,10000,False,1,T2D,0.590575,0.590575,0.590575,T2D,0,11,0,0,0,0.590575,0.590575,11
CBLC,,19,10000,False,1,AD,0.834585,0.834585,0.834585,AD,0,10,0.834585,0.834585,10,0,0,0
CBLN3,,14,10000,False,1,T2D,0.763736,0.763736,0.763736,T2D,0,1,0,0,0,0.763736,0.763736,1
CCDC17,,1,10000,False,1,T2D,0.503593,0.503593,0.503593,T2D,0,2,0,0,0,0.503593,0.503593,2
CCDC61,,19,10000,False,1,AD,0.641362,0.641362,0.641362,AD,0,11,0.641362,0.641362,11,0,0,0
CCDC8,,19,10000,False,1,AD,0.608819,0.608819,0.608819,AD,0,1,0.608819,0.608819,1,0,0,0
CCHCR1,,6,10000,False,1,T2D,0.569184,0.569184,0.569184,T2D,0,15,0,0,0,0.569184,0.569184,15
CCND1,,11,10000,False,1,T2D,0.517599,0.517599,0.517599,T2D,0,12,0,0,0,0.517599,0.517599,12
CCND2,,12,10000,False,1,T2D,0.804123,0.804123,0.804123,T2D,0,23,0,0,0,0.804123,0.804123,23
CCND3,,6,10000,False,1,T2D,0.760936,0.760936,0.760936,T2D,0,1,0,0,0,0.760936,0.760936,1
CD101,,1,10000,False,1,T2D,0.502996,0.502996,0.502996,T2D,0,13,0,0,0,0.502996,0.502996,13
CD2AP,,6,10000,False,1,AD,0.559605,0.559605,0.559605,AD,0,8,0.559605,0.559605,8,0,0,0
CD33,,19,10000,False,1,AD,0.579606,0.579606,0.579606,AD,0,3,0.579606,0.579606,3,0,0,0
CDC123,,10,10000,False,1,T2D,0.69926,0.69926,0.69926,T2D,0,12,0,0,0,0.69926,0.69926,12
CDC25A,,3,10000,False,1,T2D,0.544807,0.544807,0.544807,T2D,0,1,0,0,0,0.544807,0.544807,1
CDHR5,,11,10000,False,1,T2D,0.755598,0.755598,0.755598,T2D,0,1,0,0,0,0.755598,0.755598,1
CDK2AP1,,12,10000,False,1,T2D,0.55746,0.55746,0.55746,T2D,0,1,0,0,0,0.55746,0.55746,1
CDKAL1,,6,10000,False,1,T2D,0.761851,0.761851,0.761851,T2D,0,59,0,0,0,0.761851,0.761851,59
CDKN2A,,9,10000,False,1,T2D,0.623766,0.623766,0.623766,T2D,0,5,0,0,0,0.623766,0.623766,5
CDKN2B,,9,10000,False,1,T2D,0.755066,0.755066,0.755066,T2D,0,5,0,0,0,0.755066,0.755066,5
CDKN2C,,1,10000,False,1,T2D,0.65834,0.65834,0.65834,T2D,0,1,0,0,0,0.65834,0.65834,1
CDSN,,6,10000,False,1,T2D,0.58719,0.58719,0.58719,T2D,0,6,0,0,0,0.58719,0.58719,6
CEACAM16,,19,10000,False,1,AD,0.663377,0.663377,0.663377,AD,0,7,0.663377,0.663377,7,0,0,0
CEACAM19,,19,10000,False,1,AD,0.643111,0.643111,0.643111,AD,0,1,0.643111,0.643111,1,0,0,0
CEACAM4,,19,10000,False,1,AD,0.494764,0.494764,0.494764,AD,0,1,0.494764,0.494764,1,0,0,0
CEBPB,,20,10000,False,1,T2D,0.633951,0.633951,0.633951,T2D,0,1,0,0,0,0.633951,0.633951,1
CEBPG,,19,10000,False,1,T2D,0.658384,0.658384,0.658384,T2D,0,15,0,0,0,0.658384,0.658384,15
CELF1,,11,10000,False,1,AD,0.490112,0.490112,0.490112,AD,0,1,0.490112,0.490112,1,0,0,0
CEP68,,2,10000,False,1,T2D,0.68526,0.68526,0.68526,T2D,0,5,0,0,0,0.68526,0.68526,5
CERS2,,1,10000,False,1,T2D,0.576791,0.576791,0.576791,T2D,0,1,0,0,0,0.576791,0.576791,1
CFB,,6,10000,False,1,T2D,0.634358,0.634358,0.634358,T2D,0,2,0,0,0,0.634358,0.634358,2
CFD,,19,10000,False,1,AD,0.565453,0.565453,0.565453,AD,0,1,0.565453,0.565453,1,0,0,0
CFDP1,,16,10000,False,1,T2D,0.711052,0.711052,0.711052,T2D,0,1,0,0,0,0.711052,0.711052,1
CHD4,,12,10000,False,1,T2D,0.476524,0.476524,0.476524,T2D,0,3,0,0,0,0.476524,0.476524,3
CHMP4B,,20,10000,False,1,T2D,0.491608,0.491608,0.491608,T2D,0,1,0,0,0,0.491608,0.491608,1
CHST15,,10,10000,False,1,T2D,0.580869,0.580869,0.580869,T2D,0,1,0,0,0,0.580869,0.580869,1
CHUK,,10,10000,False,1,T2D,0.570647,0.570647,0.570647,T2D,0,3,0,0,0,0.570647,0.570647,3
CILP2,,19,10000,False,1,T2D,0.570467,0.570467,0.570467,T2D,0,2,0,0,0,0.570467,0.570467,2
CKAP5,,11,10000,False,1,T2D,0.492321,0.492321,0.492321,T2D,0,2,0,0,0,0.492321,0.492321,2
CKM,,19,10000,False,1,AD,0.69493,0.69493,0.69493,AD,0,6,0.69493,0.69493,6,0,0,0
CLASRP,,19,10000,False,1,AD,0.742881,0.742881,0.742881,AD,0,10,0.742881,0.742881,10,0,0,0
CLIC1,,6,10000,False,1,T2D,0.609159,0.609159,0.609159,T2D,0,7,0,0,0,0.609159,0.609159,7
CLPTM1,,19,10000,False,1,AD,0.985725,0.985725,0.985725,AD,0,41,0.985725,0.985725,41,0,0,0
CLU,,8,10000,False,1,AD,0.699058,0.699058,0.699058,AD,0,11,0.699058,0.699058,11,0,0,0
CMIP,,16,10000,False,1,T2D,0.684941,0.684941,0.684941,T2D,0,1,0,0,0,0.684941,0.684941,1
CNN2,,19,10000,False,1,AD,0.63483,0.63483,0.63483,AD,0,6,0.63483,0.63483,6,0,0,0
CNTD1,,17,10000,False,1,T2D,0.574809,0.574809,0.574809,T2D,0,1,0,0,0,0.574809,0.574809,1
CNTNAP2,,7,10000,False,1,AD,0.563949,0.563949,0.563949,AD,0,7,0.563949,0.563949,7,0,0,0
COA3,,17,10000,False,1,T2D,0.574809,0.574809,0.574809,T2D,0,1,0,0,0,0.574809,0.574809,1
COASY,,17,10000,False,1,T2D,0.59664,0.59664,0.59664,T2D,0,4,0,0,0,0.59664,0.59664,4
COBLL1,,2,10000,False,1,T2D,0.652865,0.652865,0.652865,T2D,0,33,0,0,0,0.652865,0.652865,33
COL13A1,,10,10000,False,1,T2D,0.552303,0.552303,0.552303,T2D,0,4,0,0,0,0.552303,0.552303,4
COLGALT2,,1,10000,False,1,T2D,0.515473,0.515473,0.515473,T2D,0,11,0,0,0,0.515473,0.515473,11
COQ10B,,2,10000,False,1,T2D,0.519676,0.519676,0.519676,T2D,0,2,0,0,0,0.519676,0.519676,2
CPA2,,7,10000,False,1,T2D,0.622971,0.622971,0.622971,T2D,0,1,0,0,0,0.622971,0.622971,1
CPEB3,,10,10000,False,1,T2D,0.622451,0.622451,0.622451,T2D,0,2,0,0,0,0.622451,0.622451,2
CR1,,1,10000,False,1,AD,0.578516,0.578516,0.578516,AD,0,15,0.578516,0.578516,15,0,0,0
CR1L,,1,10000,False,1,AD,0.606319,0.606319,0.606319,AD,0,2,0.606319,0.606319,2,0,0,0
CRABP1,,15,10000,False,1,T2D,0.528891,0.528891,0.528891,T2D,0,2,0,0,0,0.528891,0.528891,2
CRIPAK,,4,10000,False,1,T2D,0.646275,0.646275,0.646275,T2D,0,1,0,0,0,0.646275,0.646275,1
CRTC1,,19,10000,False,1,T2D,0.570139,0.570139,0.570139,T2D,0,13,0,0,0,0.570139,0.570139,13
CSMD3,,8,10000,False,1,T2D,0.481932,0.481932,0.481932,T2D,0,3,0,0,0,0.481932,0.481932,3
CSNK2A3,,11,10000,False,1,T2D,0.638594,0.638594,0.638594,T2D,0,1,0,0,0,0.638594,0.638594,1
CSNK2B,,6,10000,False,1,T2D,0.629253,0.629253,0.629253,T2D,0,17,0,0,0,0.629253,0.629253,17
CSNK2B-LY6G5B-1181,,6,10000,False,1,T2D,0.629253,0.629253,0.629253,T2D,0,17,0,0,0,0.629253,0.629253,17
